GeneID	Annotation	Class
Tb927.3.2650	cytochrome c oxidase copper chaperone, putative	Mito.e.transport
Tb927.8.1890	Complex III cytochrome c1, cytochrome b/c complex	Mito.e.transport
Tb927.11.11950	cytochrome oxidase assembly protein, putative	Mito.e.transport
Tb927.1.4100	cytochrome oxidase subunit IV (COXIV)	Mito.e.transport
Tb927.10.8320	cytochrome oxidase subunit IX (COXIX)	Mito.e.transport
Tb927.9.3170	cytochrome oxidase subunit V (COXV)	Mito.e.transport
Tb927.10.280	cytochrome oxidase subunit VI (COXVI)	Mito.e.transport
Tb927.3.1410	cytochrome oxidase subunit VII (COXVII)	Mito.e.transport
Tb927.4.4620	cytochrome oxidase subunit VIII (COXVIII)	Mito.e.transport
Tb927.3.680	cytochrome P450, putative	Mito.e.transport
Tb927.8.1240	electron transfer flavoprotein-ubiquinone oxidoreductase, putative	Mito.e.transport
Tb927.11.180	electron transfer flavoprotein, putative	Mito.e.transport
Tb927.10.12540	electron transfer protein, putative,ferredoxin, putative	Mito.e.transport
Tb927.8.3380	SDH2N succinate dehydrogenase (complex II) subunit, electron transfer protein	Mito.e.transport
Tb927.9.2450	electron transport protein SCO1/SCO2, putative	Mito.e.transport
Tb927.11.7540	electron-transfer-flavoprotein, alpha polypeptide, putative	Mito.e.transport
Tb927.8.5640	SDH6 succinate dehydrogenase (complex II) subunit	Mito.e.transport
Tb927.2.4700	SDH8 succinate dehydrogenase (complex II) subunit	Mito.e.transport
Tb927.10.5500	hypothetical protein, conserved,, in NADH dehydrogenase complex	Mito.e.transport
Tb927.3.3460	SDH5 succinate dehydrogenase (complex II) subunit	Mito.e.transport
Tb927.10.13600	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.10.4880	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.10.5220	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.11.10140	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.11.2010	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.3.1940	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.5.2580	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.9.10520	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.9.14200	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport
Tb927.10.2550	malate dehydrogenase-related	Mito.e.transport
Tb927.11.16220	Complex III cytochrome b/c complex	Mito.e.transport
Tb927.10.4280	Complex III cytochrome b/c complex, Cytochrome bd ubiquinol oxidase, 14kDa subunit 	Mito.e.transport
Tb927.7.6990	cytochrome c oxidase complex	Mito.e.transport
Tb927.10.9440	NADH dehydrogenase (54 NDH2) in TAO/G3PDH complex	Mito.e.transport
Tb927.11.8910	NADH dehydrogenase subunit NB6M, putative	Mito.e.transport
Tb927.11.15810	NADH dehydrogenase subunit NI2M, putative	Mito.e.transport
Tb927.11.16870	NADH dehydrogenase subunit NI8M, putative	Mito.e.transport
Tb927.11.6970	NADH-cytochrome b5 reductase-like protein	Mito.e.transport
Tb927.7.2710	NADH-cytochrome b5 reductase, putative	Mito.e.transport
Tb927.11.1310	NADH-cytochrome b5 reductase, putative (B5R)	Mito.e.transport
Tb927.11.15550	NADH-cytochrome b5 reductase, putative (B5R)	Mito.e.transport
Tb927.11.3750	NADH-cytochrome b5 reductase, putative (B5R)	Mito.e.transport
Tb927.5.1470	NADH-cytochrome b5 reductase, putative (B5R)	Mito.e.transport
Tb927.7.2700	NADH-cytochrome b5 reductase, putative (B5R)	Mito.e.transport
Tb927.11.1320	NADH-ubiquinone oxidoreductase 20 kDa subunit, NDUFS7 (NDHK)	Mito.e.transport
Tb927.10.9620	NADH-ubiquinone oxidoreductase c	Mito.e.transport
Tb927.10.3420	Not an ORF	3_UTR
Tb927.10.13620	NADH-ubiquinone oxidoreductase complex I subunit, NDUFA9 subunit, putative	Mito.e.transport
Tb927.11.15440	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.e.transport
Tb927.11.7212	hypothetical protein, conserved	ZUnknown
Tb927.11.9930	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.e.transport
Tb927.4.4300	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.e.transport
Tb927.7.3910	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.e.transport
Tb927.9.15010	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.e.transport
Tb927.10.4130	NADH-ubiquinone oxidoreductase complex I subunit, putative,NDUFA5/B13 subunit, putative	Mito.e.transport
Tb927.9.15380	NADH-ubiquinone oxidoreductase complex I subunit, putative,NDUFA9 subunit, putative	Mito.e.transport
Tb927.5.450	NADH-ubiquinone oxidoreductase, mitochondrial, putative	Mito.e.transport
Tb927.7.6350	NADH-ubiquinone oxidoreductase, mitochondrial, putative	Mito.e.transport
Tb927.4.1670	POMP29, cytochrome b5-like haem-binding domain	Mito.e.transport
Tb927.5.510	SDH10 succinate dehydrogenase (complex II) subunit	Mito.e.transport
Tb927.11.3980	Complex III subunit of cytochrom b/c1 complex alpha-MMP	Mito.e.transport
Tb927.5.1060	Complex III beta-MMP subunit of cytochrom b/c1 complex	Mito.e.transport
Tb927.6.2490	SDH7 succinate dehydrogenase (complex II) subunit	Mito.e.transport
Tb927.6.4130	SDH3 succinate dehydrogenase (complex II) subunit, cytochrome B subunit	Mito.e.transport
Tb927.8.6580	SDH1 succinate dehydrogenase (complex II) subunit, flavoprotein	Mito.e.transport
Tb927.9.5960	SDH2C succinate dehydrogenase (complex II) subunit	Mito.e.transport
Tb927.4.4990	ubiquinol-cytochrome c reductase, putative	Mito.e.transport
Tb927.10.510	LOK1=POMP19 Mitochondrial membrane formation	Mito.membrane
Tb927.7.5700	pATOM36	Mito.membrane
Tb927.11.13180	POMP10	Mito.membrane
Tb927.11.2580	POMP11	Mito.membrane
Tb927.11.3100	POMP13, Trypanosome-specific, putative TM domain at Cterminus	Mito.membrane
Tb927.11.5600	POMP14	Mito.membrane
Tb11.02.5105	POMP15	Mito.membrane
Tb927.1.3800	POMP18	Mito.membrane
Tb927.9.2650	POMP2	Mito.membrane
Tb927.10.9140	POMP20	Mito.membrane
Tb927.10.11030	POMP21	Mito.membrane
Tb927.2.5530	POMP22	Mito.membrane
Tb927.3.1080	POMP23	Mito.membrane
Tb927.3.3130	POMP24	Mito.membrane
Tb927.3.3520	POMP25	Mito.membrane
Tb927.3.4640	POMP26	Mito.membrane
Tb927.4.1540	POMP27, NAD-dependent epimerase, aldehyde reductase, one putative TM domain	Mito.membrane
Tb927.4.1590	POMP28	Mito.membrane
Tb927.9.2670	POMP3	Mito.membrane
Tb927.6.3680	POMP31	Mito.membrane
Tb927.6.4180	POMP32	Mito.membrane
Tb927.7.2960	POMP33	Mito.membrane
Tb927.7.4890	POMP34	Mito.membrane
Tb927.7.5470	POMP36	Mito.membrane
Tb927.7.7210	POMP37	Mito.membrane
Tb927.8.1470	POMP38	Mito.membrane
Tb927.8.4380	POMP40	Mito.membrane
Tb927.8.5130	POMP41	Mito.membrane
Tb927.9.9080	POMP5	Mito.membrane
Tb927.9.10560	POMP6/TbLOK1	Mito.membrane
Tb927.9.12500	POMP7	Mito.membrane
Tb927.9.13120	POMP8	Mito.membrane
Tb927.11.11460	POMP9	Mito.membrane
Tb927.8.6600	SAM35, putative	Mito.membrane
Tb927.6.1570	2-hydroxy-3-oxopropionate reductase, putative	Mito.pathway
Tb927.9.6060	2Fe-2S iron-sulfur cluster binding domain containing protein, POMP4	Mito.pathway
Tb927.10.2230	adrenodoxin reductase, putative,ferredoxin NADP  reductase-like protein	Mito.pathway
Tb927.10.6190	aldehyde dehydrogenase, putative (ALDH)	Mito.pathway
Tb927.7.6930	ATPase, putative	Mito.pathway
Tb927.10.11930	beta-D-hydroxybutyrate dehydrogenase	Mito.pathway
Tb927.11.1350	calcium uniporter protein, mitochondrial	Mito.pathway
Tb927.3.1890	cytochrome c oxidase assembly protein, putative	Mito.pathway
Tb927.1.3950	D-alanine aminotransferase (ALAT)	Mito.pathway
Tb927.10.3210	delta-1-pyrroline-5-carboxylate dehydrogenase, putative	Mito.pathway
Tb927.1.1000	developmentally regulated phosphoprotein (dr6)	Mito.pathway
Tb927.10.7570	dihydrolipoamide acetyltransferase E2 subunit, putative	Mito.pathway
Tb927.5.4330	dihydrolipoamide branched chain transacylase, putative	Mito.pathway
Tb927.7.890	FDXA Ferredoxin	Mito.pathway
Tb927.4.4980	FDXB ferredoxin	Mito.pathway
Tb927.10.2710	ferredoxin, putative	Mito.pathway
Tb927.9.6710	flavoprotein monooxygenase, putative	Mito.pathway
Tb927.3.1000	frataxin	Mito.pathway
Tb927.2.4240	GTP binding protein, putative	Mito.pathway
Tb927.10.11160	HIRA-interacting protein 5, putative	Mito.pathway
Tb927.11.9570	hypothetical protein, conserved	Mito.pathway
Tb927.1.1610	hypothetical protein, conserved	Mito.pathway
Tb927.1.1730	conserved protein, unknown function	Mito.pathway
Tb927.1.4230	hypothetical protein, conserved	Mito.pathway
Tb927.1.730	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.pathway
Tb927.1.740	phosphatidylinositol-4-phosphate 5-kinase related	Mito.pathway
Tb927.1.790	hypothetical transmembrane protein, conserved	Mito.pathway
Tb927.1.840	transmembrane protein, putative	Mito.pathway
Tb927.10.10120	hypothetical protein, conserved	Mito.pathway
Tb927.10.10780	hypothetical protein, conserved	Mito.pathway
Tb927.10.11520	hypothetical protein, conserved	Mito.pathway
Tb927.10.11770	hypothetical protein, conserved	Mito.pathway
Tb927.10.11900	thioredoxin, putative	Mito.pathway
Tb927.10.13850	ATP12 chaperone protein, putative	Mito.pathway
Tb927.10.14860	Complex 1 protein (LYR family), putative	Mito.pathway
Tb927.10.1660	hypothetical protein, conserved	Mito.pathway
Tb927.10.1930	hypothetical protein, conserved	Mito.pathway
Tb927.10.2300	hypothetical protein, conserved	Mito.pathway
Tb927.10.2680	pyridine nucleotide-disulphide oxidoreductase, putative	Mito.pathway
Tb927.10.3320	hypothetical protein, conserved	Mito.pathway
Tb927.10.3590	hypothetical protein, conserved	Mito.pathway
Tb927.10.4240	hypothetical protein, conserved	Mito.pathway
Tb927.10.430	peroxidase, putative	Mito.pathway
Tb927.10.4550	hypothetical protein, conserved	Mito.pathway
Tb927.10.4850	hypothetical protein, conserved	Mito.pathway
Tb927.10.5400	hypothetical protein, conserved	Mito.pathway
Tb927.10.5540	hypothetical protein, conserved	Mito.pathway
Tb927.10.6170	hypothetical protein, conserved	Mito.pathway
Tb927.10.760	hypothetical protein, conserved	Mito.pathway
Tb927.10.7610	hypothetical protein, conserved	Mito.pathway
Tb927.10.770	RF-1 domain containing protein, putative	Mito.pathway
Tb927.10.7910	hypothetical protein, conserved	Mito.pathway
Tb927.10.8610	hypothetical protein, conserved	Mito.pathway
Tb927.10.8630	Sucrase/ferredoxin-like, putative	Mito.pathway
Tb927.10.8730	ABC1 family, putative	Mito.pathway
Tb927.10.8980	hypothetical protein, conserved	Mito.pathway
Tb927.10.9000	hypothetical protein, conserved	Mito.pathway
Tb927.10.9120	hypothetical protein, conserved	Mito.pathway
Tb927.10.9280	hypothetical protein, conserved	Mito.pathway
Tb927.10.9810	hypothetical protein, conserved	Mito.pathway
Tb927.10.9830	hypothetical protein, conserved	Mito.pathway
Tb927.10.9970	hypothetical protein, conserved	Mito.pathway
Tb927.11.10720	hypothetical protein, conserved	Mito.pathway
Tb927.11.10960	2OG-Fe(II) oxygenase superfamily, putative	Mito.pathway
Tb927.11.11380	hypothetical protein, conserved	Mito.pathway
Tb927.11.11620	hypothetical protein, conserved	Mito.pathway
Tb927.11.12160	hypothetical protein, conserved	Mito.pathway
Tb927.11.1290	hypothetical protein, conserved	Mito.pathway
Tb927.11.13510	hypothetical protein, conserved	Mito.pathway
Tb927.11.13710	hypothetical protein, conserved	Mito.pathway
Tb927.11.13830	DnaJ domain containing protein, putative	Mito.pathway
Tb927.11.13910	hypothetical protein, conserved	Mito.pathway
Tb927.11.1400	hypothetical protein, conserved	Mito.pathway
Tb927.11.14700	hypothetical protein, conserved	Mito.pathway
Tb927.11.15070	hypothetical protein, conserved	Mito.pathway
Tb927.11.1620	hypothetical protein, conserved	Mito.pathway
Tb927.11.16530	hypothetical protein, conserved	Mito.pathway
Tb927.11.16750	hypothetical protein, conserved	Mito.pathway
Tb927.11.1700	hypothetical protein, conserved	Mito.pathway
Tb927.11.1950	hypothetical protein, conserved	Mito.pathway
Tb927.11.240	hypothetical protein, conserved	Mito.pathway
Tb927.11.3940	hypothetical protein, conserved	Mito.pathway
Tb927.11.4680	SURF1 family, putative	Mito.pathway
Tb927.11.4810	hypothetical protein, conserved	Mito.pathway
Tb927.11.4850	hypothetical protein, conserved	Mito.pathway
Tb927.11.570	DnaJ domain containing protein, putative	Mito.pathway
Tb927.11.5920	conserved protein	Mito.pathway
Tb927.11.6470	hypothetical protein, conserved	Mito.pathway
Tb927.11.6660	Tex-like protein N-terminal domain/Helix-hairpin-helix motif containing protein, putative	Mito.pathway
Tb927.11.6830	Domain of unknown function(DUF2779), putative	Mito.pathway
Tb927.11.6980	hypothetical protein, conserved	Mito.pathway
Tb927.11.7250	hypothetical protein, conserved	Mito.pathway
Tb927.11.8800	hypothetical protein, conserved	Mito.pathway
Tb927.11.9150	hypothetical protein, conserved	Mito.pathway
Tb927.11.9750	Protein of unknown function (DUF498/DUF598), putative	Mito.pathway
Tb927.2.2210	hypothetical protein, conserved	Mito.pathway
Tb927.2.2940	hypothetical protein, conserved	Mito.pathway
Tb927.2.4380	hypothetical protein, conserved	Mito.pathway
Tb927.2.5930	hypothetical protein, conserved	Mito.pathway
Tb927.3.1720	hypothetical protein, conserved	Mito.pathway
Tb927.3.1730	hypothetical protein, conserved	Mito.pathway
Tb927.3.2010	hypothetical protein, conserved	Mito.pathway
Tb927.3.2080	hypothetical protein, conserved	Mito.pathway
Tb927.3.2130	RNA pseudouridylate synthase, putative	Mito.pathway
Tb927.3.2300	DNL zinc finger, putative	Mito.pathway
Tb927.3.2370	hypothetical protein, conserved	Mito.pathway
Tb927.3.2670	hypothetical protein, conserved	Mito.pathway
Tb927.3.3660	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.pathway
Tb927.3.3680	hypothetical protein, conserved	Mito.pathway
Tb927.3.3890	hypothetical protein, conserved	Mito.pathway
Tb927.3.4030	hypothetical protein, conserved	Mito.pathway
Tb927.3.4260	Acyl-coenzyme A thioesterase, putative	Mito.pathway
Tb927.3.750	SET domain containing protein, putative	Mito.pathway
Tb927.3.940	Complex 1 protein (LYR family), putative	Mito.pathway
Tb927.3.950	2OG-Fe(II) oxygenase superfamily, putative	Mito.pathway
Tb927.4.1130	Complex 1 protein (LYR family), putative	Mito.pathway
Tb927.4.1440	probable rRNA maturation factor YbeY, putative	Mito.pathway
Tb927.4.1760	hypothetical protein, conserved	Mito.pathway
Tb927.4.2360	hypothetical protein, conserved	Mito.pathway
Tb927.4.2580	hypothetical protein, conserved	Mito.pathway
Tb927.4.330	hypothetical protein, conserved	Mito.pathway
Tb927.4.3660	hypothetical protein, conserved	Mito.pathway
Tb927.4.600	Alpha/beta hydrolase family, putative	Mito.pathway
Tb927.4.630	hypothetical protein, conserved	Mito.pathway
Tb927.4.830	cytochrome c oxidase assembly protein PET191, putative	Mito.pathway
Tb927.5.1130	hypothetical protein, conserved	Mito.pathway
Tb927.5.2150	hypothetical protein, conserved	Mito.pathway
Tb927.5.2810	hypothetical protein, conserved	Mito.pathway
Tb927.5.3300	hypothetical protein, conserved	Mito.pathway
Tb927.5.3340	Tim10/DDP family zinc finger, putative	Mito.pathway
Tb927.5.4080	hypothetical protein, conserved	Mito.pathway
Tb927.5.530	hypothetical protein, conserved	Mito.pathway
Tb927.6.1200	hypothetical protein, conserved	Mito.pathway
Tb927.6.1410	hypothetical protein, conserved	Mito.pathway
Tb927.6.1590	conserved protein	Mito.pathway
Tb927.6.1890	hypothetical protein, conserved	Mito.pathway
Tb927.6.2010	AMP-binding enzyme, putative	Mito.pathway
Tb927.6.2380	hypothetical protein, conserved	Mito.pathway
Tb927.6.2510	Flavinator of succinate dehydrogenase, putative	Mito.pathway
Tb927.6.2630	Hsp33 protein, putative	Mito.pathway
Tb927.6.3360	hypothetical protein, conserved	Mito.pathway
Tb927.6.4070	hypothetical protein, conserved	Mito.pathway
Tb927.6.590	hypothetical protein, conserved	Mito.pathway
Tb927.7.1080	hypothetical protein, conserved	Mito.pathway
Tb927.7.2200	Tim10/DDP family zinc finger, putative	Mito.pathway
Tb927.7.2390	hypothetical protein, conserved	Mito.pathway
Tb927.7.2410	Dynamin family, putative	Mito.pathway
Tb927.7.2630	50S ribosome-binding GTPase, putative	Mito.pathway
Tb927.7.2690	hypothetical protein, conserved	Mito.pathway
Tb927.7.2990	hypothetical protein, conserved	Mito.pathway
Tb927.7.3100	hypothetical protein, conserved	Mito.pathway
Tb927.7.3770	YjeF family N-terminal domain/YjeF family C-terminal domain containing protein, putative	Mito.pathway
Tb927.7.4440	NAD dependent epimerase/dehydratase family, putative	Mito.pathway
Tb927.7.5110	hypothetical protein, conserved	Mito.pathway
Tb927.7.5260	Cytochrome c oxidase biogenesis protein Cmc1 like, putative	Mito.pathway
Tb927.7.5280	hypothetical protein, conserved	Mito.pathway
Tb927.7.5440	hypothetical protein, conserved	Mito.pathway
Tb927.7.640	hypothetical protein, conserved	Mito.pathway
Tb927.7.7440	hypothetical protein, conserved	Mito.pathway
Tb927.7.910	hypothetical protein, conserved	Mito.pathway
Tb927.8.1770	hypothetical protein, conserved	Mito.pathway
Tb927.8.2470	hypothetical protein, conserved	Mito.pathway
Tb927.8.2670	Putative S-adenosyl-L-methionine-dependent methyltransferase, putative	Mito.pathway
Tb927.8.2880	hypothetical protein, conserved	Mito.pathway
Tb927.8.3090	hypothetical protein, conserved	Mito.pathway
Tb927.8.4000	ABC1 family, putative	Mito.pathway
Tb927.8.4240	hypothetical protein, conserved	Mito.pathway
Tb927.8.4250	hypothetical protein, conserved	Mito.pathway
Tb927.8.4930	hypothetical protein, conserved	Mito.pathway
Tb927.8.5100	hypothetical protein, conserved	Mito.pathway
Tb927.8.5220	hypothetical protein, conserved	Mito.pathway
Tb927.8.5420	methyltransferase domain containing protein, putative	Mito.pathway
Tb927.8.5660	hypothetical protein, conserved	Mito.pathway
Tb927.8.580	hypothetical protein, conserved	Mito.pathway
Tb927.8.6110	3-hydroxy-3-methylglutaryl-CoA synthase, putative (HMGS)	Mito.pathway
Tb927.8.6560	SpoU rRNA Methylase family, putative	Mito.pathway
Tb927.8.7040	hypothetical protein, conserved	Mito.pathway
Tb927.9.10070	hypothetical protein, conserved	Mito.pathway
Tb927.9.10500	HAD hydrolase, TIGR01456 family/HAD hydrolase, family IIA, putative	Mito.pathway
Tb927.9.11350	hypothetical protein, conserved	Mito.pathway
Tb927.9.13580	hypothetical protein, conserved	Mito.pathway
Tb927.9.1380	hypothetical protein, conserved	Mito.pathway
Tb927.9.1950	hypothetical protein, conserved	Mito.pathway
Tb927.9.2270	hypothetical protein, conserved	Mito.pathway
Tb927.9.3410	hypothetical protein, conserved	Mito.pathway
Tb927.9.3540	hypothetical protein, conserved	Mito.pathway
Tb927.9.3600	Glycosyl transferase family 11, putative	Mito.pathway
Tb927.9.3780	MPC1 mitochondrial pyruvate carrier	Mito.membrane
Tb927.9.6620	hypothetical protein, conserved	Mito.pathway
Tb927.9.6910	hypothetical protein, conserved	Mito.pathway
Tb927.9.7020	hypothetical protein, conserved	Mito.pathway
Tb927.9.9310	hypothetical protein, conserved	Mito.pathway
Tb927.10.10160	pentatricopeptide repeat domain containing protein, putative	Mito.pathway
Tb927.8.6800	hypothetical protein, conserved	Mito.pathway
Tb927.6.3350	hypothetical protein, conserved (YCF45-like)	Mito.pathway
Tb927.7.3810	hypothetical protein, conserved, , 2 Cold-shock domains	Mito.pathway
Tb927.3.4210	hypothetical protein, conserved, dsRNA binding domain	Mito.pathway
Tb927.11.3300	SAS4	Cytoskeleton
Tb927.10.14020	hypothetical protein, conserved, in mitochondrion	Mito.pathway
Tb927.10.6200	hypothetical protein, conserved, no clear yeast or human matches	Mito.pathway
Tb927.11.4330	hypothetical protein, conserved, no clear yeast or human matches	Mito.pathway
Tb927.4.720	hypothetical protein, conserved, no clear yeast or human matches	Mito.pathway
Tb927.11.4870	hypothetical protein, conserved, no clear yeast or human matches, domain of unknown funciton	Mito.pathway
Tb927.9.15270	hypothetical protein, conserved, only match is to hypothetical protein ACA1_387870 [Acanthamoeba castellanii str. Neff]	Mito.pathway
Tb927.11.4320	hypothetical protein, conserved, PF02622 DUF179, Uncharacterized ACR, COG1678	Mito.pathway
Tb927.1.5000	hypothetical protein, conserved, possibly mitochondrial, no yeast or human match	Mito.pathway
Tb927.11.5820	hypothetical protein, conserved, probably in mitochondrion, Inhibitor of apoptosis-promoting Bax1, putative	Mito.pathway
Tb927.6.1860	hypothetical protein, conserved, prokaryotic ribosome recycling factor domain, no Sc match	Mito.pathway
Tb927.11.7214 	hypothetical protein, conserved, S-adenosyl methionine-dependent methyltransferase domain 	Mito.pathway
Tb927.10.3770	hypothetical protein, conserved,predicted TPR repeat protein	Mito.pathway
Tb927.4.2440	hypothetical protein, very weak match to yeast ribosomal protein RSM23	Mito.pathway
Tb927.5.500	in situ HA-tagged protein colocalizes with mitochondrion (TRitrypDB comment)	Mito.pathway
Tb927.8.7170	inositol polyphosphate 1-phosphatase, putative	Mito.pathway
Tb927.5.3350	iron superoxide dismutase, putative	Mito.pathway
Tb927.9.11720	iron-sulfur cluster assembly protein ISCU	Mito.pathway
Tb927.10.12000	iron-sulfur cluster assembly protein, ISD11, needed foraconitatase, fumarase &  thiolation of mitochodrial and cytosolic tRNA	Mito.pathway
Tb927.9.14600	iron/ascorbate oxidoreductase family protein, putative	Mito.pathway
Tb927.8.5540	ISA1 mitochondrial Iron-Sulfur cluster biosynthesis	Mito.pathway
Tb927.6.2790	L-threonine 3-dehydrogenase, putative	Mito.pathway
Tb927.3.4920	LETM1 and EF-hand domain-containing protein 1, inner mitochondrial membrane?	Mito.pathway
Tb927.8.630	lipoate-protein ligase, lipoyltransferase, lipoate biosynthesis protein, putative	Mito.pathway
Tb927.11.9390	lipoate-protein ligase, putative,lipoyltransferase, putative	Mito.pathway
Tb927.9.9840	lipoic acid containing carrier protein, putative	Mito.pathway
Tb927.11.15470	methionyl-tRNA formyltransferase	Mito.pathway
Tb927.10.5050	Mitochondrial ATP synthase epsilon subunit, putative	Mito.pathway
Tb927.10.520	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.10.8030	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.11.1270	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.11.6250	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.2.3610	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.3.1690	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.3.2180	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.3.2880	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.4.3450	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.5.2930	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.5.3090	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.7.840	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.8.3320	Mitochondrial ATP synthase subunit, putative	Mito.pathway
Tb927.4.3300	mitochondrial ATP-dependent zinc metallopeptidase, putative	Mito.pathway
Tb927.10.7620	mitochondrial ATP-dependent zinc metallopeptidase, putative,metallo-peptidase, Clan MA(E) Family M41	Mito.pathway
Tb927.8.1850	mitochondrial calcium uptake 1 MICU1	Mito.pathway
Tb927.7.7080	mitochondrial glycoprotein-like protein	Mito.pathway
Tb927.11.16990	Mitochondrial LSU-associated, 50S ribosome-binding GTPase	Mito.pathway
Tb927.11.5530	Mitochondrial LSU-associated	Mito.pathway
Tb927.11.8040	Mitochondrial LSU-associated	Mito.pathway
Tb927.10.9860	Mitochondrial N(5)-glutamine methyltransferase MTQ1, putative	Mito.pathway
Tb927.7.3520	MPC2 mitochondrial pyruvate carrier	Mito.membrane
Tb927.6.2180	Mitochondrial SSU-associated	Mito.pathway
Tb927.7.5820	Monooxygenase, putative	Mito.pathway
Tb927.11.6320	MRB1-associated protein???	Mito.pathway
Tb927.4.2520	NAD dependent deacetylase SIR2RP3, nicotinic acid mononucleotide 5,6-dimethylbenzimidazole (cobb) protein	Mito.pathway
Tb927.8.3140	NAD dependent deacetylase, putative, SIR2RP2	Mito.pathway
Tb927.10.1160	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.pathway
Tb927.4.440	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.pathway
Tb927.8.2530	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.pathway
Tb927.8.5560	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.pathway
Tb927.7.7330	oxidoreductase, putative	Mito.pathway
Tb927.7.7410	oxidoreductase, putative	Mito.pathway
Tb927.9.7190	oxidoreductase, putative	Mito.pathway
Tb927.6.2420	p22 protein precursor, interacts with UBP1 in T. cruzi	Mito.pathway
Tb927.7.3470	p22 protein precursor, putative	Mito.pathway
Tb927.11.9900	phytoene synthase, putative, complex I	Mito.pathway
Tb927.11.7780	Mitochondrial import receptor subunit ATOM46 (ATOM46)	Mito.biogenesis
Tb927.8.6080	POMP42, Glycerophosphoryl diester phosphodiesterase family	Mito.pathway
Tb927.7.210	proline dehydrogenase	Mito.pathway
Tb927.5.1310	protoheme IX farnesyltransferase, putative	Mito.pathway
Tb927.7.2440	pyrroline-5-carboxylate reductase, putative (P5CR)	Mito.pathway
Tb927.9.14160	Complex III cytochrome b/c complex, rieske iron-sulfur protein ISP	Mito.pathway
Tb927.11.13890	RNA ligase asociated with SSU	Mito.pathway
Tb927.8.6410	short-chain dehydrogenase, putative	Mito.pathway
Tb927.9.5890	solanesyl-diphosphate synthase, putative (28G16.440)	Mito.pathway
Tb927.5.520	stomatin-like protein, putative	Mito.pathway
Tb927.11.15820	superoxide dismutase, putative	Mito.pathway
Tb927.9.12770	TPR repeat protein	Mito.pathway
Tb927.9.4310	tricarboxylate carrier, putative	Mito.pathway
Tb927.11.10510	ubiquinone biosynthesis methyltransferase, putative	Mito.pathway
Tb927.3.4890	ubiquinone biosynthesis protein COQ7 homolog, putative	Mito.pathway
Tb927.11.13580	ubiquinone biosynthesis protein-like protein	Mito.pathway
Tb927.8.3830	ATP-dependent DEAD/H RNA helicase, putative,mitochondrial	Mito.RNA
Tb927.4.3020	ATP-dependent DEAH-box RNA helicase, putative	Mito.RNA
Tb927.11.7218	Component of mitochondrial complex containing the MERS1 NUDIX hydrolase	Mito.RNA
Tb927.2.2570	GAP2	Mito.RNA
Tb927.7.2570	guide RNA associated protein, GAP2	Mito.RNA
Tb927.11.15850	kinetoplast poly(A) polymerase complex 1 subunit	Mito.RNA
Tb927.11.1250	kinetoplast poly(A) polymerase complex 1 subunit, MIT ssu-associated	Mito.RNA
Tb927.11.14380	Kinetoplast polyadenylation/uridylation factor 2	Mito.RNA
Tb927.8.6040	Kinetoplast ribosomal PPR-repeat containing protein 11 	Mito.RNA
Tb927.11.7960	kPAP kinetoplast poly(A) polymerase 1	Mito.RNA
Tb927.10.160	KPAP2 Kinetoplast poly(A) polymerase	Mito.RNA
Tb927.9.4360	KREL1	Mito.RNA
Tb927.1.3030	KREL2	Mito.RNA
Tb927.10.8210	KREPA2	Mito.RNA
