GeneID	Annotation	Class	ORFlength
Tb927.10.5780	amino acid tansporter, putative	Amino.acid.transport	1731
Tb927.10.5790	hypothetical protein, conserved	ZUnknown	1611
Tb927.10.580	hypothetical protein, conserved	ZUnknown	717
Tb927.10.5800	hypothetical protein, conserved	ZUnknown	414
Tb927.10.5810	The ARF-like 2 binding protein BART, putative	ZUnknown	1302
Tb927.10.5820	predicted RanGDP binding protein	Zinc.finger	3012
Tb927.10.5830	hypothetical protein, conserved, 4-5 RanBP2 Zn fingers, matches varios yeast/human proteins with motif	Zinc.finger	1641
Tb927.10.5850	hypothetical protein, conserved, some similarity ot vauolar sorting proteins.	Vesicular.transport	14232
Tb927.10.5860	hypothetical protein, conserved	ZUnknown	429
Tb927.10.5870	hypothetical protein, conserved	ZUnknown	1371
Tb927.10.5880	Proteophosphoglycan, putative	ZUnknown	1881
Tb927.10.5890	Galactose oxidase, central domain containing protein, putative	ZUnknown	2718
Tb927.10.590	hypothetical protein, conserved	ZUnknown	2142
Tb927.10.5900	hypothetical protein, conserved	ZUnknown	1404
Tb927.10.5910	hypothetical protein, conserved, DNA/RNA polymerase type	ZUnknown	2400
Tb927.10.5920	hypothetical protein, conserved	ZUnknown	2376
Tb927.10.5950	NEK17 protein kinase	Protein.kinase	1485
Tb927.10.5960	engulfment and cell motility domain 2, putative	Cytoskeleton	1380
Tb927.10.5970	predicted zinc finger protein	ZUnknown	1701
Tb927.10.5980	leucine-rich repeat protein (LRRP)	LRRP	1281
Tb927.10.5990	hypothetical protein, conserved, spectrin repeat.	ZUnknown	1332
Tb927.10.600	Mitchondrial LSU ribosomal protein	Mito.translation	1626
Tb927.10.6000	hypothetical protein, conserved	ZUnknown	4608
Tb927.10.6010	STAG domain containing protein, putative	ZUnknown	3495
Tb927.10.6020	hypothetical protein, conserved	ZUnknown	537
Tb927.10.6030	20S proteasome subunit alpha-6, (putative) (TbPSA6)	Ubiquitin.proteasome	801
Tb927.10.6050	clathrin heavy chain (CHC)	Vesicular.transport	5112
Tb927.10.6080	proteasome beta 5 subunit, putative,proteasome beta 5 subunit (PRCE)	Ubiquitin.proteasome	933
Tb927.10.6090	tRNA pseudouridine synthase A, putative	rRNA.tRNA.process	2067
Tb927.10.610	hypothetical protein, conserved	ZUnknown	975
Tb927.10.6100	Protein of unknown function (DUF2419), putative	ZUnknown	1308
Tb927.10.6110	hypothetical protein, conserved	ZUnknown	2148
Tb927.10.6120	Peptidase M76 family, putative	ZUnknown	741
Tb927.10.6130	hypothetical protein, conserved	ZUnknown	1242
Tb927.10.6140	GPI-GlcNAc transferase	GPI.anchors	1029
Tb927.10.6150	neurobeachin/beige protein, putative	Lysosome	9726
Tb927.10.6160	Sec34-like family, putative	ZUnknown	2196
Tb927.10.6170	hypothetical protein, conserved	Mito.pathway	4527
Tb927.10.6180	hypothetical protein, conserved	ZUnknown	1500
Tb927.10.6190	aldehyde dehydrogenase, putative (ALDH)	Mito.pathway	1512
Tb927.10.620	hypothetical protein, conserved	ZUnknown	1605
Tb927.10.6200	hypothetical protein, conserved, no clear yeast or human matches	Mito.pathway	315
Tb927.10.6210	TPR repeat, putative	ZUnknown	1836
Tb927.10.6220	XRND	RNA.degradation	2406
Tb927.10.6230	hypothetical protein, conserved,MORN repeat containing protein	Vesicular.transport	2073
Tb927.10.6240	ras-like small GTPase, putative (TbRHP) spindle formation and mitosis	Cell.cycle	1212
Tb927.10.6250	hypothetical protein, conserved	ZUnknown	1746
Tb927.10.6260	ATP-dependent DEAD/H RNA helicase, putative Has1, ribosome biogenesis?	rRNA.tRNA.process	1815
Tb927.10.6270	hypothetical protein	ZUnknown	
Tb927.10.6280	N-terminal glutamine amidase, putative	ZUnknown	657
Tb927.10.6290	ATP-dependent DEAD/H RNA helicase, putative Rrp3, ribosome biogenesis?	rRNA.tRNA.process	1539
Tb927.10.630	hypothetical protein, conserved	ZUnknown	1974
Tb927.10.6300	Mitchondrial SSU ribosomal protein S5	Mito.translation	1308
Tb927.10.6310	major vault protein, putative (MVP)	Enzyme	2589
Tb927.10.6320	NOC3, nuclear export of ribosomes, assoc with NRG1	rRNA.tRNA.process	1842
Tb927.10.6330	KKT1 kinetochore protein	Cell.cycle	4785
Tb927.10.6340	hypothetical protein, conserved	ZUnknown	1212
Tb927.10.6350	trypanin	Cytoskeleton	1362
Tb927.10.6360	hypothetical protein, conserved	ZUnknown	1464
Tb927.10.6380	ring finger containing protein	Zinc.finger	660
Tb927.10.6390	hypothetical protein, conserved	ZUnknown	897
Tb927.10.640	arginine N-methyltransferase, type II (PRMT5)	Arg.methylation	2355
Tb927.10.6410	mismatch repair protein MSH8	DNA	2994
Tb927.10.6420	hypothetical protein	ZUnknown	537
Tb927.10.6430	hypothetical protein	ZUnknown	378
Tb927.10.6440	Phosphomannomutase PMM, acts as phosphoglucomutase	Glucose.glycerol	738
Tb927.10.6450	2OG-Fe(II) oxygenase superfamily, putative	ZUnknown	915
Tb927.10.6460	protein phosphatase 2B, putative	Protein.phosphatase	1176
Tb927.10.6470	hypothetical protein	ZUnknown	552
Tb927.10.6480	hypothetical protein, conserved, polyprotein-like	ZUnknown	1020
Tb927.10.6490	KIAA1430 homologue, putative	ZUnknown	486
Tb927.10.650	TAX-2, flagellar protein	Cytoskeleton	663
Tb927.10.6500	amino acid transporter, putative,amino acid permease, putative	Amino.acid.transport	1362
Tb927.10.6510	chaperonin HSP60, mitochondrial precursor	Mito.biogenesis	1689
Tb927.10.6520	hypothetical protein, conserved	ZUnknown	1794
Tb927.10.6530	dolichyl-P-Man:GDP-Man5GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative	Glycans	1215
Tb927.10.6540	kinetoplastid-specific phospho-protein phosphatase, putative	Protein.phosphatase	1914
Tb927.10.6550	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region/Zinc-finger (CX5CX6HX5H) motif containing protein, putative	ZUnknown	723
Tb927.10.6560	Protein of unknown function DUF72, putative	ZUnknown	1332
Tb927.10.6570	TPR repeat, putative	ZUnknown	963
Tb927.10.6580	hypothetical protein	ZUnknown	1650
Tb927.10.6590	hypothetical protein, conserved	ZUnknown	2238
Tb927.10.660	2-oxoisovalerate dehydrogenase alpha subunit, putative	Lipids	1251
Tb927.10.6600	hypothetical protein, conserved	ZUnknown	1047
Tb927.10.6610	chaperone protein DNAj, putative	Chaperone	825
Tb927.10.6620	hypothetical protein, conserved, no domains	ZUnknown	1452
Tb927.10.6630	ATP-dependent DEAD/H RNA helicase similar to DBP1 or HEL64	RNA.helicase	1707
Tb927.10.6640	COP-coated vesicle membrane protein erv25 precursor,	Vesicular.transport	762
Tb927.10.6650	G10 protein homologue, putative	ZUnknown	726
Tb927.10.6670	dynein light chain, putative	Cytoskeleton	378
Tb927.10.6680	member of the NOL1/NOP2/sun family  (S-adenosyl methionine methyltransferases)	Enzyme	2223
Tb927.10.6690	protein tyrosine phosphatase, putative (TbPTP1)	Protein.phosphatase	921
Tb927.10.670	hypothetical protein, conserved	ZUnknown	681
Tb927.10.6700	hypothetical protein, conserved	ZUnknown	1527
Tb927.10.6710	hypothetical protein, conserved	ZUnknown	1191
Tb927.10.6770	BRCA1 C Terminus (BRCT) domain containing protein, putative	ZUnknown	654
Tb927.10.6780	vacuolar protein sorting-associated protein 45, putative (VPS45)	Lysosome	1770
Tb927.10.6790	hypothetical protein, conserved, spindle pole body domain	Cytoskeleton	5184
Tb927.10.680	Protein of unknown function (DUF971), putative	ZUnknown	873
Tb927.10.6800	RBG1, associated with translating ribosomes	Translation	1107
Tb927.10.6810	guanylate kinase, putative	Nucleotides	795
Tb927.10.6820	hypothetical protein, conserved	ZUnknown	945
Tb927.10.6830	Bardet-Biedl syndrome 4 protein homolog (BBS4-like protein 4), putative	Cytoskeleton	1401
Tb927.10.6840	hypothetical protein, conserved	ZUnknown	888
Tb927.10.6850	Mitochondrial ribosomal protein S18, putative (MRPS18)	Mito.RNA	963
Tb927.10.6860	endonuclease V, putative	DNA	951
Tb927.10.6870	short-chain dehydrogenase, putative	Enzyme	1098
Tb927.10.6880	glyceraldehyde 3-phosphate dehydrogenase, cytosolic (GAP)	Glucose.glycerol	996
Tb927.10.690	palmitoyl acyltransferase 3, putative	Lipids	1005
Tb927.10.6900	HmdUGT, glucosyltransferase that converts HOMedU to base J 	DNA	1968
Tb927.10.6930	hypothetical protein. cullin, cullin-Nedd88 bs site like	Ubiquitin.proteasome	3501
Tb927.10.6950	sterol 24-c-methyltransferase, putative	Sterols	1080
Tb927.10.6960	hypothetical protein, conserved, EF hand superfamily (E-4)	Calcium	963
Tb927.10.6980	caltractin, putative	Vesicular.transport	555
Tb927.10.6990	hypothetical protein, conserved	ZUnknown	447
Tb927.10.7000	hypothetical protein, conserved	ZUnknown	999
Tb927.10.7010	hypothetical protein, conserved	ZUnknown	1641
Tb927.10.7020	Acid phosphatase (TbAP)	Phosphatase	1284
Tb927.10.7030	hypothetical protein, conserved	ZUnknown	807
Tb927.10.7040	hypothetical protein, conserved	ZUnknown	1380
Tb927.10.7050	chromatin assembly factor 1 subunit B, putative	Chromatin	1653
Tb927.10.7060	TbNup96 Inner ring	Nuclear.transport	2652
Tb927.10.7070	small nuclear RNA-activating protein (SNAP3)	RNA.processing	705
Tb927.10.7080	ATP-dependent DEAD/H RNA helicase, putative Sub2 ,TREX complex mRNA export, homologue of UAP56, splicing factor	RNA.processing	2067
Tb927.10.7090	alternative oxidase (AOX or TAO complex)	Glucose.glycerol	990
Tb927.10.710	hypothetical protein, conserved	ZUnknown	861
Tb927.10.7100	delta-4 fatty acid desaturase	Lipids	1266
Tb927.10.7110	Inositol-3-phosphate synthase	Signalling	1587
Tb927.10.7120	hypothetical protein, conserved	ZUnknown	978
Tb927.10.7130	hypothetical protein, conserved	ZUnknown	2241
Tb927.10.7140	membrane-bound acid phosphatase 2 (MBAP2)	Phosphatase	1506
Tb927.10.7150	hypothetical protein	ZUnknown	276
Tb927.10.7170	hypothetical protein	ZUnknown	339
Tb927.10.7190	D-tyrosyl-tRNA deacylase, putative	rRNA.tRNA.process	456
Tb927.10.720	CAP118 Clathrin-associated protein	Vesicular.transport	3252
Tb927.10.7200	TPR repeat, putative	ZUnknown	2541
Tb927.10.7210	hypothetical protein, conserved	ZUnknown	687
Tb927.10.7220	hypothetical protein, conserved	ZUnknown	1362
Tb927.10.7230	hypothetical protein, conserved, 7 nucleoside diphostate kinase domains	Enzyme	7566
Tb927.10.7240	KKT14 Kinetochore protein	Cell.cycle	2058
Tb927.10.7250	hypothetical protein, conserved	ZUnknown	1404
Tb927.10.7270	hypothetical protein, conserved	ZUnknown	1578
Tb927.10.7280	pre-mRNA splicing factor ATP-dependent RNA helicase, putative	RNA.processing	3189
Tb927.10.7290	Flagellar Member 2 (FLAM2)	Cytoskeleton	3468
Tb927.10.730	ATP synthase, putative	Ox.phosphorylation	1407
Tb927.10.7300	hypothetical protein, conserved	ZUnknown	288
Tb927.10.7310	terminal uridylyltransferase 3, putative (TUT3)	RNA.processing	2484
Tb927.10.7320	hypothetical protein, conserved	ZUnknown	612
Tb927.10.7340	40S ribosomal protein S24E	Ribosome	414
Tb927.10.7350	hypothetical protein, conserved	ZUnknown	5385
Tb927.10.7360	ATP-binding cassette protein, putative	ZUnknown	1941
Tb927.10.7370	hypothetical protein, conserved	ZUnknown	2157
Tb927.10.7380	Mitchondrial LSU ribosomal protein	Mito.translation	1050
Tb927.10.7390	U2 splicing factor, putatiive SF3b(SAP)14b	RNA.processing	333
Tb927.10.740	structural maintenance of chromosome 4 (SMC4)	Chromatin	4101
Tb927.10.7400	Zinc finger domain found in E3 ubiquitin ligases	Zinc.finger	1563
Tb927.10.7410	succinyl-CoA ligase [GDP-forming] beta-chain, putative	Citric.acid.cycle	1260
Tb927.10.7420	bromodomain factor 2 BDF2	Chromatin	675
Tb927.10.7430	GTP-binding protein, putative	Enzyme	1419
Tb927.10.7440	MTR4	RNA.degradation	2853
Tb927.10.7450	RRP41A exosome complex PH subunit 	RNA.degradation	759
Tb927.10.7460	hypothetical protein	ZUnknown	429
Tb927.10.7470	U2 splicing factor SF3b14 (p14), putative. RBP15	RNA.processing	354
Tb927.10.7480	hypothetical protein, conserved	ZUnknown	591
Tb927.10.7490	cullin, putative	Ubiquitin.proteasome	2130
Tb927.10.750	hypothetical protein, conserved	ZUnknown	381
Tb927.10.7500	fibrillarin (NOP1)	rRNA.tRNA.process	903
Tb927.10.7510	chromatin binding protein, putative	Chromatin	1470
Tb927.10.7520	folylpolyglutamate synthase, putative (FPGS)	Folate	1503
Tb927.10.7530	hypothetical protein	ZUnknown	450
Tb927.10.7540	VRR-NUC domain containing protein, putative	ZUnknown	2949
Tb927.10.7550	hypothetical protein, conserved	ZUnknown	1671
Tb927.10.7560	methyltransferase domain containing protein, putative	ZUnknown	855
Tb927.10.7570	dihydrolipoamide acetyltransferase E2 subunit, putative	Mito.pathway	1356
Tb927.10.7580	hypothetical protein, conserved	ZUnknown	3033
Tb927.10.7590	hypothetical protein, conserved	ZUnknown	840
Tb927.10.760	hypothetical protein, conserved	Mito.pathway	1059
Tb927.10.7600	hypothetical protein, conserved	ZUnknown	1098
Tb927.10.7610	hypothetical protein, conserved	Mito.pathway	4299
Tb927.10.7620	mitochondrial ATP-dependent zinc metallopeptidase, putative,metallo-peptidase, Clan MA(E) Family M41	Mito.pathway	1974
Tb927.10.7630	hypothetical protein, conserved,transportin2- like protein	Nuclear.transport	2826
Tb927.10.7640	hypothetical protein	ZUnknown	
Tb927.10.7650	hypothetical protein	ZUnknown	
Tb927.10.7660	hypothetical protein	ZUnknown	411
Tb927.10.7670	Protein of unknown function (DUF2962), putative	ZUnknown	729
Tb927.10.7680	TBC-RootA likely Ran-GAP	Nuclear.transport	1593
Tb927.10.7690	CMF4, T. brucei components of motile flagella (TbCMF4)	Cytoskeleton	2175
Tb927.10.770	RF-1 domain containing protein, putative	Mito.pathway	1899
Tb927.10.7700	ABC transporter, putative	Transporter	2007
Tb927.10.7710	40S ribosomal protein S8	Ribosome	783
Tb927.10.7720	hypothetical protein, conserved	ZUnknown	396
Tb927.10.7730	Domain of unknown function (DUF4496), putative	ZUnknown	1152
Tb927.10.7740	protein transport protein Sec23 (SEC23.2)	Vesicular.transport	2235
Tb927.10.7750	hypothetical protein, conserved	ZUnknown	756
Tb927.10.7760	hypothetical protein, conserved	ZUnknown	594
Tb927.10.7770	hypothetical protein	ZUnknown	693
Tb927.10.7780	KFR1 protein kinase	Protein.kinase	1053
Tb927.10.7790	ubiquitin fusion degradation protein, putative	Ubiquitin.proteasome	921
Tb927.10.780	Ring finger domain containing protein, putative	ZUnknown	522
Tb927.10.7800	cop9 signalosome complex subunit, putative,predicted PCI domain protein	Vesicular.transport	1164
Tb927.10.7810	Homologue of yeast ESF1,nucleolar protein involved in pre-rRNA processing	rRNA.tRNA.process	2139
Tb927.10.7820	hypothetical protein, conserved	ZUnknown	423
Tb927.10.7830	hypothetical protein, conserved	ZUnknown	1527
Tb927.10.7840	hypothetical protein, conserved	ZUnknown	897
Tb927.10.7850	protein-L-isoaspartate, putative	Enzyme	726
Tb927.10.7860	hypothetical protein, conserved	ZUnknown	651
Tb927.10.7870	hypothetical protein, conserved	ZUnknown	576
Tb927.10.7880	Sperm tail/Sperm tail C-terminal domain containing protein, putative	ZUnknown	1956
Tb927.10.7890	hypothetical protein, conserved	ZUnknown	2190
Tb927.10.790	vesicle-associated membrane protein, putative (VAMP)	Vesicular.transport	720
Tb927.10.7900	hypothetical protein, conserved	ZUnknown	1158
Tb927.10.7910	hypothetical protein, conserved	Mito.pathway	570
Tb927.10.7920	hypothetical protein, conserved	ZUnknown	600
Tb927.10.7930	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (PGAM)	Glucose.glycerol	1656
Tb927.10.7940	MTr1 cap methyltransferase	RNA.processing	1113
Tb927.10.7950	hypothetical protein	ZUnknown	
Tb927.10.7960	hypothetical protein, conserved	ZUnknown	468
Tb927.10.7970	Organic solute transporter Ostalpha, putative	ZUnknown	1101
Tb927.10.7980	hypothetical protein, conserved	ZUnknown	1326
Tb927.10.7990	replication factor C, subunit 5, putative,ATPase, putative	DNA	1050
Tb927.10.800	hypothetical protein, conserved	ZUnknown	1221
Tb927.10.8000	P-loop nucleoside triphosphate hydrolase, EF hand domains	Enzyme	3990
Tb927.10.8010	hypothetical protein, conserved	ZUnknown	735
Tb927.10.8020	prolyl endopeptidase (POP)	Protease	2097
Tb927.10.8030	Mitochondrial ATP synthase subunit, putative	Mito.pathway	768
Tb927.10.8040	adaptin complex AP1 beta subunit (BAD1)	Vesicular.transport	2088
Tb927.10.8050	TFIIF-stimulated CTD phosphatase, putative	Protein.phosphatase	801
Tb927.10.8060	SET domain containing protein, putative	ZUnknown	1374
Tb927.10.8070	ATPase, putative	Enzyme	1479
Tb927.10.8080	Uncharacterized conserved protein (DUF2042), putative	ZUnknown	2223
Tb927.10.8090	hypothetical protein, conserved	ZUnknown	471
Tb927.10.810	pentatricopeptide repeat domain containing protein, putative	ZUnknown	1812
Tb927.10.8100	hypothetical protein, conserved	ZUnknown	1065
Tb927.10.8110	Protein of unknown function (DUF2453), putative	ZUnknown	825
Tb927.10.8120	RNA ligase/AAA domain containing protein, putative	ZUnknown	2613
Tb927.10.8130	hypothetical protein, conserved	ZUnknown	1230
Tb927.10.8140	EVE domain containing protein, putative	ZUnknown	486
Tb927.10.8150	Bromodomain protein BDF1	Chromatin	906
Tb927.10.8160	hypothetical protein, conserved	ZUnknown	324
Tb927.10.8170	TbNup144 Outer-inner connect	Nuclear.transport	3978
Tb927.10.8190	Tric complex theta subunit (TCP-1-theta)	Chaperone	1614
Tb927.10.820	hypothetical protein, conserved	ZUnknown	1038
Tb927.10.8200	60S Ribosomal protein L1	Ribosome	810
Tb927.10.8210	KREPA2	Mito.RNA	1764
Tb927.10.8220	hypothetical protein, conserved	ZUnknown	390
Tb927.10.8230	protein disulfide isomerase,ERp57-like, cofactor wth calnexin, putative	Chaperone	1494
Tb927.10.8240	hypothetical protein, conserved	ZUnknown	1125
Tb927.10.8250	hypothetical protein, conserved	ZUnknown	795
Tb927.10.8260	hypothetical protein, conserved	ZUnknown	567
Tb927.10.8290	eIF3c	Translation	2223
Tb927.10.830	adenylate kinase, putative (ADKB)	Nucleotides	783
Tb927.10.8300	U1A small nuclear ribonucleoprotein (RBP14A)	RNA.processing	492
Tb927.10.8310	Histone acetyltransferase HAT3	Chromatin	852
Tb927.10.8320	cytochrome oxidase subunit IX (COXIX)	Mito.e.transport	375
Tb927.10.8330	S. cerevisiae PSP1 homologue, putative	ZUnknown	708
Tb927.10.8340	hypothetical protein	ZUnknown	597
Tb927.10.8350	hypothetical protein	ZUnknown	195
Tb927.10.8360	PARN-2	RNA.degradation	1530
Tb927.10.8370	hypothetical protein, conserved	ZUnknown	537
Tb927.10.8380	hypothetical protein, conserved	ZUnknown	579
Tb927.10.8390	hypothetical protein, conserved, HECT E3 ligase at C-terminus	Ubiquitin.proteasome	11166
Tb927.10.840	FAZ6 flagellar attachment zone protein	Cytoskeleton	5160
Tb927.10.8400	Vip36 lectin-like, ERGIC53 paralogue, ER quality control	Vesicular.transport	885
Tb927.10.8410	hypothetical protein, conserved	ZUnknown	717
Tb927.10.8420	TOR1 protein kinase	Signalling	7299
Tb927.10.8430	40S ribosomal protein S12	Ribosome	429
Tb927.10.850	bilobe protein, conserved	ZUnknown	4509
Tb927.10.8540	chaperone protein DNAj, putative	Chaperone	1011
Tb927.10.8560	small GTPase, putative (RAB23)	Vesicular.transport	681
Tb927.10.8570	hypothetical protein, conserved	ZUnknown	1866
Tb927.10.8580	ADP-ribosylation factor 3, putative (ARL3)	Vesicular.transport	573
Tb927.10.8600	Vps54-like protein, putative	ZUnknown	3270
Tb927.10.8610	hypothetical protein, conserved	Mito.pathway	2658
Tb927.10.8620	hypothetical protein, conserved	ZUnknown	552
Tb927.10.8630	Sucrase/ferredoxin-like, putative	Mito.pathway	768
Tb927.10.8640	Galactose oxidase, central domain containing protein, putative	ZUnknown	1101
Tb927.10.8650	RanBPL, interacts with Ran (Tb927.3.1120)	Nuclear.transport	1014
Tb927.10.8660	Fis1 C-terminal tetratricopeptide repeat, putative	ZUnknown	726
Tb927.10.8670	hypothetical protein, conserved	ZUnknown	417
Tb927.10.8680	hypothetical protein, conserved	ZUnknown	1341
Tb927.10.8690	TIGR00269 family protein, putative	ZUnknown	1011
Tb927.10.870	myosin-like	Cytoskeleton	4056
Tb927.10.8700	selenoprotein, putative	ZUnknown	264
Tb927.10.8710	Centrin3	Cell.cycle	498
Tb927.10.8720	NOT10	RNA.degradation	1668
Tb927.10.8730	ABC1 family, putative	Mito.pathway	1590
Tb927.10.8750	TBC-Q2 likely GAP	Signalling	1023
Tb927.10.8760	hypothetical protein, conserved	ZUnknown	1170
Tb927.10.8770	TBC-Q1,  likely GAP, in Tc vacuolar proteome	Signalling	1257
Tb927.10.8780	AAA domain containing protein, putative	ZUnknown	6510
Tb927.10.8790	OTU-like cysteine protease, putative	ZUnknown	798
Tb927.10.880	thymidine kinase, putative	Nucleotides	1368
Tb927.10.8800	hypothetical protein, conserved	ZUnknown	1761
Tb927.10.8810	hypothetical protein, conserved	ZUnknown	2730
Tb927.10.8820	bilobe protein, conserved	ZUnknown	2301
Tb927.10.8830	hypothetical protein, conserved	ZUnknown	1758
Tb927.10.8840	hypothetical protein, conserved	ZUnknown	849
Tb927.10.8850	A distinct subfamily of CDD/CDA-like deaminases, putative	ZUnknown	1758
Tb927.10.8860	hypothetical protein, conserved	ZUnknown	1641
Tb927.10.8870	Myosin-like coiled-coil protein, putative	ZUnknown	867
Tb927.10.8880	RIF4 involved in RNAi	RNA.degradation	1470
Tb927.10.8890	kinetoplast DNA-associated protein, putative	Mito.DNA	630
Tb927.10.8900	Choline phosphotransferase	Lipids	1299
Tb927.10.8910	TbNup181 Inner ring	Nuclear.transport	4995
Tb927.10.8920	TbGRP  ras-like small GTPase	Signalling	1020
Tb927.10.8930	paraflagellar rod protein PFC18	Cytoskeleton	2133
Tb927.10.8940	Flagellum tageting protein KHARON1	Cytoskeleton	1236
Tb927.10.8950	kinetoplast DNA-associated protein, putative	Mito.DNA	381
Tb927.10.8960	hypothetical protein, conserved	ZUnknown	714
Tb927.10.8980	hypothetical protein, conserved	Mito.pathway	510
Tb927.10.8990	hypothetical protein, conserved	ZUnknown	1257
Tb927.10.900	hypothetical protein, conserved	ZUnknown	516
Tb927.10.9000	hypothetical protein, conserved	Mito.pathway	4926
Tb927.10.9010	leucine-rich repeat protein (LRRP)	LRRP	681
Tb927.10.9020	Gcd10p family, putative	ZUnknown	1431
Tb927.10.9030	Mechanosensitive ion channel, putative	ZUnknown	516
Tb927.10.9040	hypothetical protein, conserved	ZUnknown	4623
Tb927.10.9050	pseudouridine synthase PUS7	rRNA.tRNA.process	2001
Tb927.10.9060	hypothetical protein, conserved	ZUnknown	1416
Tb927.10.9070	hypothetical protein, conserved	ZUnknown	1791
Tb927.10.9080	pteridine transporter, putative	Folate	1923
Tb927.10.9090	Cullin binding, putative	ZUnknown	726
Tb927.10.910	DNA repair and recombination helicase protein PIF6	Mito.DNA	2391
Tb927.10.9100	hypothetical protein, conserved	ZUnknown	2244
Tb927.10.9110	hypothetical protein, conserved	ZUnknown	957
Tb927.10.9120	hypothetical protein, conserved	Mito.pathway	714
Tb927.10.9130	pre-mRNA splicing factor ATP-dependent RNA helicase, putative	RNA.processing	2070
Tb927.10.9140	POMP20	Mito.membrane	1935
Tb927.10.9150	hypothetical protein, conserved	ZUnknown	903
Tb927.10.9160	CYC12 	Cell.cycle	1920
Tb927.10.9170	hypothetical protein, conserved	ZUnknown	546
Tb927.10.9180	PRA1 family protein, putative	ZUnknown	1257
Tb927.10.9190	isoleucyl-tRNA synthetase, putative (IleRS)	Translation.tRNA	3432
Tb927.10.920	Ribosomal protein L1p/L10e family, putative	ZUnknown	894
Tb927.10.9200	Nuclease-related domain containing protein, putative	ZUnknown	1242
Tb927.10.9210	hypothetical protein, conserved	ZUnknown	1614
Tb927.10.9220	hypothetical protein, conserved	ZUnknown	666
Tb927.10.9230	adaptin complex AP4 beta subunit	Vesicular.transport	2310
Tb927.10.9240	Tir chaperone protein (CesT) family, putative	ZUnknown	1098
Tb927.10.9250	G-actin binding protein, putative, CAP/Srv2p, putative	Cytoskeleton	810
Tb927.10.9260	hypothetical protein, conserved	ZUnknown	975
Tb927.10.9270	emp24/gp25L/p24 family/GOLD, putative	ZUnknown	699
Tb927.10.9280	hypothetical protein, conserved	Mito.pathway	2874
Tb927.10.9290	AAA domain containing protein, putative	ZUnknown	1083
Tb927.10.930	hypothetical protein, conserved	ZUnknown	1938
Tb927.10.9300	adiponectin receptor protein 1	ZUnknown	924
Tb927.10.9310	Haemolysin-III related, putative	ZUnknown	1050
Tb927.10.9320	hypothetical protein, conserved	ZUnknown	918
Tb927.10.9330	hypothetical protein, conserved, partial PSP1 superfamily (signal peptidase-like), copuriifes with ZC3H12	ZUnknown	1812
Tb927.10.9350	hypothetical protein, conserved	ZUnknown	2568
Tb927.10.9360	L-2-hydroxyglutarate dehydrogenase, mitochondrial, putative	ZUnknown	1563
Tb927.10.9370	hypothetical protein, conserved	ZUnknown	1035
Tb927.10.9380	SEP domain/UBX domain containing protein, putative	ZUnknown	1644
Tb927.10.9390	Macrocin-O-methyltransferase (TylF), putative	ZUnknown	984
Tb927.10.940	hypothetical protein, conserved, kinetoplastid-specific	ZUnknown	627
Tb927.10.9400	branch point binding protein SF1, putative	RNA.processing	816
Tb927.10.9410	selenophosphate synthetase, putative	Enzyme	1182
Tb927.10.9420	mitochondrial chaperone BCS1, putative	Chaperone	1599
Tb927.10.9430	phosphoribosylpyrophosphate synthetase, putative (PRS)	PPP	1134
Tb927.10.9440	NADH dehydrogenase (54 NDH2) in TAO/G3PDH complex	Mito.e.transport	1476
Tb927.10.9450	invariant surface glycoprotein, putative	ZUnknown	753
Tb927.10.950	hypothetical protein, conserved	ZUnknown	1407
Tb927.10.9500	ESAG3, putative	ESAG	1182
Tb927.10.9510	hypothetical protein	ZUnknown	603
Tb927.10.9530	hypothetical protein	ZUnknown	
Tb927.10.9550	hypothetical protein	ZUnknown	540
Tb927.10.9560	oxidoreductase, putative	Enzyme	1005
Tb927.10.9570	paraflagellar rod protein PFC14	Cytoskeleton	3249
Tb927.10.9580	hypothetical protein	ZUnknown	
Tb927.10.9590	hypothetical protein, conserved	ZUnknown	1302
Tb927.10.960	U4/U6-specific protein PRP4	RNA.processing	1830
Tb927.10.9600	protein kinase, putative,tyrosine protein kinase, putative	Protein.kinase	1617
Tb927.10.9610	hypothetical protein	ZUnknown	498
Tb927.10.9620	NADH-ubiquinone oxidoreductase c	Mito.e.transport	333
Tb927.10.9630	hypothetical protein	ZUnknown	483
Tb927.10.9640	hypothetical protein, conserved	ZUnknown	1026
Tb927.10.9650	TbNup152 Outer ring	Nuclear.transport	4221
Tb927.10.9660	CRN/SYF3 part of splicing PRP19 complex, putative	RNA.processing	2331
Tb927.10.9670	ADP-ribosylation factor family, putative	ZUnknown	2934
Tb927.10.9680	SET domain containing protein, putative	ZUnknown	1404
Tb927.10.9690	predicted C2 domain protein	ZUnknown	5514
Tb927.10.970	Tetratricopeptide repeat, putative	ZUnknown	5271
Tb927.10.9700	predicted C2 domain protein	ZUnknown	3546
Tb927.10.9720	RNA-editing-associated protein 1, oligo (U) binding protein (REAP-1)	Mito.RNA	1776
Tb927.10.9730	hypothetical protein, conserved	ZUnknown	1002
Tb927.10.9740	Proteasome regulatory subunit (RPT6)	Ubiquitin.proteasome	1227
Tb927.10.9750	ubiquitin-protein ligase, putative (upl3)	Ubiquitin.proteasome	5607
