GeneID	Annotation	Class	TranscriptLength
Tb927.11.10070	Bromodomain protein BDF3	Chromatin	NA
Tb927.11.10080	Mitchondrial LSU ribosomal protein	Mito.translation	NA
Tb927.11.10090	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1010	chaperone protein DNAj, putative	Chaperone	NA
Tb927.11.10100	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10110	actin-like protein, putative	Cytoskeleton	NA
Tb927.11.10120	hypothetical protein, conserved, various yeast/human matches at C-terminus, but no domains.	ZUnknown	NA
Tb927.11.10130	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10140	hypothetical protein, possible component of cytochorome oxidase complex	Mito.e.transport	NA
Tb927.11.10150	Mitchondrial SSU ribosomal protein, Enoyl-CoA hydratase/isomerase family, putative	Mito.translation	NA
Tb927.11.10170	Mitchondrial LSU ribosomal protein	Mito.translation	NA
Tb927.11.10180	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10190	telomerase reverse transcriptase, putative	DNA	NA
Tb927.11.1020	ribokinase, putative	PPP	NA
Tb927.11.10200	hypothetical protein, conserved, no domains, K-specific	ZUnknown	NA
Tb927.11.10210	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10220	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10230	RNA polymerase-associated protein CDC73, putative	RNA.synthesis	NA
Tb927.11.10240	hslVU complex proteolytic subunit, in mitochondrion	Protease	NA
Tb927.11.10250	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10260	hypothetical protein, conserved, no known domains	ZUnknown	NA
Tb927.11.10270	golgi SNARE protein-like,GOLGI SNAP receptor complex member, putative	Vesicular.transport	NA
Tb927.11.10280	metallo-peptidase, Clan MC, Family M14, putative	Protease	NA
Tb927.11.10290	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1030	KKT7 Kinetochore protein	Cell.cycle	NA
Tb927.11.10300	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10320	TatD related DNase, putative	ZUnknown	NA
Tb927.11.10330	Regulator of chromosome condensation (RCC1) repeat, putative	ZUnknown	NA
Tb927.11.10340	Putative serine/threonine protein phosphatase	Protein.phosphatase	NA
Tb927.11.10350	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10360	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10370	glycosyl hydrolase-like protein	Glycans	NA
Tb927.11.10380	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10390	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1040	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10400	Mitchondrial SSU ribosomal protein	Mito.translation	NA
Tb927.11.10410	Cornichon protein, putative	ZUnknown	NA
Tb927.11.10420	DNA-directed RNA polymerase, putative (RPA12)	RNA.synthesis	NA
Tb927.11.10430	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10440	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10450	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative	Glycans	NA
Tb927.11.10460	GINS complex protein, putative	ZUnknown	NA
Tb927.11.10470	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10480	PQQ-like domain/WD domain, G-beta repeat/Utp21 specific WD40 associated putative domain containing protein, putative	ZUnknown	NA
Tb927.11.10490	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1050	RNA processing factor 1, putative,ribosome biogenesis protein	rRNA.tRNA.process	NA
Tb927.11.10500	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10510	ubiquinone biosynthesis methyltransferase, putative	Mito.pathway	NA
Tb927.11.10520	KKT2 kinetochore protein, tyrosine kinase, putative	Cell.cycle	NA
Tb927.11.10530	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10540	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10550	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10560	eIF4G4	Translation	NA
Tb927.11.10570	Mitchondrial LSU ribosomal protein	Mito.translation	NA
Tb927.11.10580	COG (conserved oligomeric Golgi) complex component, COG2/Domain of unknown function (DUF3510), putative	ZUnknown	NA
Tb927.11.10590	Glutathione S-transferase, C-terminal domain containing protein, putative	ZUnknown	NA
Tb927.11.1060	Vasohibin, putative	ZUnknown	NA
Tb927.11.10600	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10610	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10620	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10630	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10640	DNA-(apurinic or apyrimidinic site) lyase, putative	DNA	NA
Tb927.11.10650	adaptin complex AP3 beta subunit AP3B	Vesicular.transport	NA
Tb927.11.10670	glycosyl hydrolase, putative	Glycans	NA
Tb927.11.10680	hypothetical protein	ZUnknown	NA
Tb927.11.10690	hypothetical protein, conserved	Vesicular.transport	NA
Tb927.11.1070	glycosomal transporter (GAT3)	Glycosome	NA
Tb927.11.10700	Yos9-like, ER quality control	Vesicular.transport	NA
Tb927.11.10710	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10720	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.10730	SNF2 DNA repair protein, putative,ATP-dependent helicase, putative,SNF2 family helicase, putative	DNA	NA
Tb927.11.10740	vacuolar sorting-associated protein-like, putative	Lysosome	NA
Tb927.11.10750	Pre-mRNA-splicing factor CWC22, putative	RNA.processing	NA
Tb927.11.10760	KIN-D kinesin, associated with sub-pellicular microtubules, essential	Cytoskeleton	NA
Tb927.11.10770	VHS domain containing protein, putative	ZUnknown	NA
Tb927.11.10780	Voltage-dependent anion channel (VDAC), putative	Transporter	NA
Tb927.11.1080	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10800	Domain of unknown function (DUF4496), putative	ZUnknown	NA
Tb927.11.10810	PUF11	RNA.binding	NA
Tb927.11.10820	protein kinase ck2 regulatory subunit beta, putative	Protein.kinase	NA
Tb927.11.10830	hypothetical protein	ZUnknown	NA
Tb927.11.10840	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10850	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10860	Nin one binding (NOB1) SSU pre-rRNA processing	rRNA.tRNA.process	NA
Tb927.11.10870	32 kDa ER-associated protein (ERAP32)	Vesicular.transport	NA
Tb927.11.10880	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10890	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10900	CMF9, MENG,flagellar component	Cytoskeleton	NA
Tb927.11.10910	40S ribosomal protein SA	Ribosome	NA
Tb927.11.10920	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.10930	delta tubulin,tubulin delta chain (TUBD1)	Cytoskeleton	NA
Tb927.11.10940	hypothetical protein, conserved, no domains	ZUnknown	NA
Tb927.11.10950	DnaJ domain containing protein, putative	ZUnknown	NA
Tb927.11.10960	2OG-Fe(II) oxygenase superfamily, putative	Mito.pathway	NA
Tb927.11.10970	RWD domain/Uncharacterized protein family UPF0029, putative	ZUnknown	NA
Tb927.11.10980	Got1/Sft2-like family, putative	ZUnknown	NA
Tb927.11.10990	Methylthioribosephosphate isomerase (was annotated as EIF2B subunit)	Enzyme	NA
Tb927.11.11000	Calponin homology (CH) domain containing protein, putative	ZUnknown	NA
Tb927.11.11010	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11020	hypothetical protein, conserved, clathrin-like region, RING finger.	ZUnknown	NA
Tb927.11.11030	EAP4 exosome-associated protein 4	RNA.degradation	NA
Tb927.11.11040	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11050	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11100	N-acetyltransferase, putative	Enzyme	NA
Tb927.11.11110	NEK20 protein kinase	Protein.kinase	NA
Tb927.11.11120	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11130	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11140	hypothetical protein	ZUnknown	NA
Tb927.11.11150	U5 snRNP-specific 40 kDa protein U5-40K	RNA.processing	NA
Tb927.11.11160	Phosphate transporter (TbPho91	Lysosome	NA
Tb927.11.11170	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11180	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11200	oligomeric golgi complex component 8, putative	Vesicular.transport	NA
Tb927.11.11210	paraflagellar rod protein PFC17	Cytoskeleton	NA
Tb927.11.11220	dynein heavy chain	Cytoskeleton	NA
Tb927.11.11240	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11250	cytosolic malate dehydrogenase (cMDH)	Glucose.glycerol	NA
Tb927.11.11260	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11270	conserved protein	ZUnknown	NA
Tb927.11.11280	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11300	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11310	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11320	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11330	heat shock protein 70, major HSP70	Chaperone	NA
Tb927.11.11340	gamma-tubulin complex subunit GCP3	Cytoskeleton	NA
Tb927.11.11350	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11360	guanine nucleotide-binding protein beta subunit- like protein (TRACK)	Translation	NA
Tb927.11.11380	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.11390	2OG-Fe(II) oxygenase superfamily, putative	ZUnknown	NA
Tb927.11.11410	trans-sialidase, putative	Membrane.protein	NA
Tb927.11.11420	hypothetical protein	ZUnknown	NA
Tb927.11.11430	CUL1 cullin	Ubiquitin.proteasome	NA
Tb927.11.11440	A/G-specific adenine glycosylase, putative	DNA	NA
Tb927.11.11450	Galactose oxidase, central domain containing protein, putative	ZUnknown	NA
Tb927.11.11460	ATOM69 - POMP9	Mito.biogenesis	NA
Tb927.11.11470	Mitchondrial SSU ribosomal associated KRIPP14 (PPR)	Mito.translation	NA
Tb927.11.11490	2,3-bisphosphoglycerate-independent phosphoglycerate mutase-like protein, putative	Glucose.glycerol	NA
Tb927.11.1150	radial spoke protein RSP3, putative	Cytoskeleton	NA
Tb927.11.11500	cyclin dependent kinase-binding protein, putative	Cell.cycle	NA
Tb927.11.11510	hd phosphohydrolase family protein	ZUnknown	NA
Tb927.11.11520	PEX11 glycosomal membrane protein	Glycosome	NA
Tb927.11.11530	histone acetyltransferase HAT2	Chromatin	NA
Tb927.11.11540	DNA topoisomerase II, putative (TOP2)	DNA	NA
Tb927.11.11570	eIF2B subunit (epsilon)	Translation	NA
Tb927.11.11580	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11590	eIF3E	Translation	NA
Tb927.11.1160	Region in Clathrin and VPS, putative	ZUnknown	NA
Tb927.11.11610	Cactus-binding C-terminus of cactin protein, putative	ZUnknown	NA
Tb927.11.11620	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.11630	Mitchondrial LSU ribosomal protein	Mito.translation	NA
Tb927.11.11640	DNA replication licensing factor MCM6	DNA	NA
Tb927.11.11650	Cytoskeleton	BB	NA
Tb927.11.11660	conserved protein	ZUnknown	NA
Tb927.11.11670	RFT1 Converts Man5GlcNAc2- PP-dolichol to mature Man9GlcNAc2-PP-dolichol	Glycans	NA
Tb927.11.11680	2-oxoglutarate dehydrogenase E2 component, putative	Citric.acid.cycle	NA
Tb927.11.11690	Vacuolar proton pump subunit B, putative	Lysosome	NA
Tb927.11.1170	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11700	nucleotidyl transferase, putative	ZUnknown	NA
Tb927.11.11710	Putative serine esterase (DUF676), putative	ZUnknown	NA
Tb927.11.11720	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton	NA
Tb927.11.11730	MRP protein, putative	Transporter	NA
Tb927.11.11740	membrane-bound acid phosphatase, putative	Phosphatase	NA
Tb927.11.11760	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11770	eIF4E3	Translation	NA
Tb927.11.11780	acyl-CoA dehydrogenase, putative	Lipids	NA
Tb927.11.11790	R3H domain containing protein, putative	ZUnknown	NA
Tb927.11.1180	CRK5 cdc2- like protein kinase	Protein.kinase	2950
Tb927.11.11800	DNA repair and recombination helicase protein PIF3	Mito.DNA	NA
Tb927.11.11810	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11820	40S ribosomal protein S17	Ribosome	NA
Tb927.11.11840	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11850	splicing factor 3B subunit 1, SF3b(SAP)155	RNA.processing	NA
Tb927.11.11860	leucine-rich repeat protein (LRRP)	LRRP	NA
Tb927.11.11870	Mitchondrial SSU ribosomal protein	Mito.translation	NA
Tb927.11.11880	conserved protein	ZUnknown	NA
Tb927.11.11890	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1190	Ring finger domain/PHD-finger, putative	ZUnknown	NA
Tb927.11.11900	coatomer gamma subunit, (Gamma-COP) COPG	Vesicular.transport	NA
Tb927.11.11910	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11920	molybdenum cofactor biosynthesis protein, putative	Enzyme	NA
Tb927.11.11930	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11940	protein phosphatase 2A, putative	Protein.phosphatase	NA
Tb927.11.11950	cytochrome oxidase assembly protein, putative	Mito.e.transport	NA
Tb927.11.11960	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.11970	hypothetical protein	ZUnknown	NA
Tb927.11.11990	hypothetical protein	ZUnknown	NA
Tb927.11.1200	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12000	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12010	hypothetical protein	ZUnknown	NA
Tb927.11.12020	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12030	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12040	component of cytochrome c oxidase complex	Mito.e.transport	NA
Tb927.11.12050	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12060	Peroxisomal biogenesis factor 11 (PEX11), putative	ZUnknown	NA
Tb927.11.12070	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12080	N-acetyl-D-glucosaminylphosphatidylinositol de-N-acetylase (GPI12)	GPI.anchors	NA
Tb927.11.12090	endonuclease III, putative	DNA	NA
Tb927.11.1210	Domain of unknown function (DUF4470)/Domain of unknown function (DUF4471), putative	ZUnknown	NA
Tb927.11.12100	RBP5	RNA.binding	NA
Tb927.11.12110	RNA helicase, putative homologue of yeast  YLR419W, which is in mitochondria	RNA.helicase	NA
Tb927.11.12120	RBP9	RNA.binding	NA
Tb927.11.12130	hypothetical protein	ZUnknown	NA
Tb927.11.12140	hypothetical protein	ZUnknown	NA
Tb927.11.12150	flagellar protein essential for flagellar pocket biogenesis (BILBO1)	Cytoskeleton	NA
Tb927.11.12160	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.12170	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12180	kinesin, 4/10 family.	Cytoskeleton	NA
Tb927.11.12190	FHA domain containing protein, putative	ZUnknown	NA
Tb927.11.1220	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12200	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12210	Domain of unknown function (DUF4586), putative	ZUnknown	NA
Tb927.11.12220	catalytic subunit of the vacuolar transporter chaperone 4, polyphosphate polymerase, Vtc4	Acidocalcisome	NA
Tb927.11.12230	heat shock protein HslU2, in mitochondrion	Chaperone	NA
Tb927.11.12240	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome	NA
Tb927.11.12250	DNA replication licensing factor MCM4	DNA	NA
Tb927.11.12260	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12270	hypothetical protein, conserved,drug resistence protein, putative	Membrane.protein	NA
Tb927.11.12280	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12290	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1230	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12300	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12310	CRK12 cdc2- like protein kinase	Cell.cycle	NA
Tb927.11.12320	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12330	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12340	predicted Zinc finger, C3HC4 type (RING finger) protein	Ubiquitin.proteasome	NA
Tb927.11.12350	DNA photolyase, putative	DNA	NA
Tb927.11.12360	ankyrin repeat protein, putative	Cytoskeleton	NA
Tb927.11.12370	hypothetical protein, conserved, no clear yeast or human matches	ZUnknown	NA
Tb927.11.12380	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12390	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1240	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12400	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12430	cell division cycle phosphatase 14, putative	Cell.cycle	NA
Tb927.11.12440	Plus-3 domain/Zinc finger, C3HC4 type (RING finger), putative	ZUnknown	NA
Tb927.11.12450	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12460	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12470	hypothetical protein, conserved, possible ARF-GEF domain	Vesicular.transport	NA
Tb927.11.12480	kinetoplastid-specific phospho-protein phosphatase, putative	Protein.phosphatase	NA
Tb927.11.12490	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1250	kinetoplast poly(A) polymerase complex 1 subunit, MIT ssu-associated	Mito.RNA	NA
Tb927.11.12500	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12510	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12520	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12530	FAZ3 flagellar attachment zone protein	Cytoskeleton	NA
Tb927.11.12540	leucine-rich repeat protein (LRRP), putative	LRRP	NA
Tb927.11.12550	leucine-rich repeat protein (LRRP)	LRRP	NA
Tb927.11.12570	kinetoplastid-specific dual specificity phosphatase, putative	Phosphatase	NA
Tb927.11.12580	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12590	Der1-like family, putative	ZUnknown	NA
Tb927.11.1260	copper-transporting ATPase-like protein, putative	Ions	NA
Tb927.11.12600	ATP-dependent DNA helicase, putative Srs2 homologue, DNA repair	DNA	NA
Tb927.11.12610	CYC1, cyclin 1	Cell.cycle	NA
Tb927.11.12620	Glucosidase II beta subunit-like, putative	ZUnknown	NA
Tb927.11.12630	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12640	PH domain containing protein, putative	ZUnknown	NA
Tb927.11.12650	palmitoyl acyltransferase 5, putative	Lipids	NA
Tb927.11.12660	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12670	TYW3 homologue, phe-tRNA modification, reading frame maintenance	Translation	NA
Tb927.11.12680	prefoldin subunit 2, also clathrin associated	Vesicular.transport	NA
Tb927.11.12690	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1270	Mitochondrial ATP synthase subunit, putative	Mito.pathway	NA
Tb927.11.12700	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12720	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12730	hypothetical protein	ZUnknown	NA
Tb927.11.12740	Mitochondrial tRNA import	Mito.biogenesis	NA
Tb927.11.12750	CPSF30 	RNA.processing	NA
Tb927.11.12760	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12770	ubiquitin ligase, putative	Ubiquitin.proteasome	NA
Tb927.11.1280	hypothetical protein, conserved, no clear yeast or human matches	ZUnknown	NA
Tb927.11.12830	acyl-CoA binding protein, putative	Lipids	NA
Tb927.11.12840	Domain of unknown function (DUF4486), putative	ZUnknown	NA
Tb927.11.12850	oligopeptidase b (OPB)	Protease	NA
Tb927.11.12860	CARP2	Signalling	NA
Tb927.11.12870	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1290	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.12910	prefoldin subunit, putative	ZUnknown	NA
Tb927.11.12920	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12930	ATP-dependent DEAD/H RNA helicase, putative, no clear yeast homologue	RNA.helicase	NA
Tb927.11.12940	Uncharacterised protein family (UPF0160), putative	ZUnknown	NA
Tb927.11.12950	TbRLJ  ras-like small GTPase	Protein.kinase	NA
Tb927.11.12960	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12970	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12980	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.12990	hypothetical protein	ZUnknown	NA
Tb927.11.1300	UBA/TS-N domain containing protein, putative	ZUnknown	NA
Tb927.11.13000	phospholipid-transporting ATPase, putative	Lipids	NA
Tb927.11.13010	hypothetical protein	ZUnknown	NA
Tb927.11.13020	calmodulin	Calcium	NA
Tb927.11.13060	TAE2 translation-associated element 2, putative	Translation	NA
Tb927.11.13070	O-phosphoseryl-tRNA(Sec) selenium transferase, putative	ZUnknown	NA
Tb927.11.13080	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1310	NADH-cytochrome b5 reductase, putative (B5R)	Mito.e.transport	NA
Tb927.11.13100	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13110	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13120	PUB domain containing protein, putative	ZUnknown	NA
Tb927.11.13130	membrane-bound acid phosphatase 1 precursor (MBAP1)	Phosphatase	NA
Tb927.11.13150	UEV domain/Zinc finger, C3HC4 type (RING finger), putative	ZUnknown	NA
Tb927.11.13160	hypothetical protein	ZUnknown	NA
Tb927.11.13170	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13180	POMP10	Mito.membrane	NA
Tb927.11.13190	EF1 gamma, elongation factor 1 gamma, putative	Translation	NA
Tb927.11.1320	NADH-ubiquinone oxidoreductase 20 kDa subunit, NDUFS7 (NDHK)	Mito.e.transport	NA
Tb927.11.13200	LEM3 (ligand-effect modulator 3) family / CDC50 family, putative	ZUnknown	NA
Tb927.11.13210	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13220	phospholipid:diacylglycerol acyltransferase-like protein	Lipids	NA
Tb927.11.13230	TbVAP, flagellar attachment zone	Cytoskeleton	NA
Tb927.11.13240	RNA polymerase subunit, putative (RPC25)	RNA.synthesis	NA
Tb927.11.13250	eIF-2-gamma	Translation	NA
Tb927.11.13260	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13270	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13280	mitochondrial RNA binding protein 2 (GBP25)	Mito.RNA	NA
Tb927.11.13290	TIM17	Mito.biogenesis	NA
Tb927.11.1330	Stress responsive A/B Barrel Domain, putative	ZUnknown	NA
Tb927.11.13300	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13310	hypothetical protein, conserved, spectrin repeats	ZUnknown	NA
Tb927.11.13320	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13330	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13340	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13350	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13360	AAA ATPase, putative	Enzyme	NA
Tb927.11.13370	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13380	nucleoside triphosphate hydrolase, putative	Enzyme	NA
Tb927.11.13390	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1340	hypothetical protein, conserved, protein kinase-like domain, no yeast or human match	ZUnknown	NA
Tb927.11.13400	Bromodomain protein BDFx	Chromatin	NA
Tb927.11.13410	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13420	PPPDE putative peptidase domain containing protein, putative	ZUnknown	NA
Tb927.11.13430	hypothetical protein	ZUnknown	NA
Tb927.11.13440	mitochondrial carrier protein, MCP21	Mito.transport	NA
Tb927.11.13450	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13460	hypothetical protein, conserved, 2 Kelch domains, possible galactose oxidase	ZUnknown	NA
Tb927.11.13470	PPPDE putative peptidase domain containing protein, putative	ZUnknown	NA
Tb927.11.13480	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13490	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1350	calcium uniporter protein, mitochondrial	Mito.pathway	NA
Tb927.11.13500	paraflagellar rod protein  par1	Cytoskeleton	NA
Tb927.11.13510	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.13520	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13530	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13540	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13550	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13560	SET domain containing protein, putative	ZUnknown	NA
Tb927.11.13570	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13580	ubiquinone biosynthesis protein-like protein	Mito.pathway	NA
Tb927.11.13590	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1360	zinc-finger of a C2HC-type, putative	Zinc.finger	NA
Tb927.11.13600	DnaJ domain containing protein, putative	ZUnknown	NA
Tb927.11.13610	rhodanese-like domain containing protein, putative	ZUnknown	NA
Tb927.11.13620	rhodanese-like domain containing protein, putative	ZUnknown	NA
Tb927.11.13630	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13640	J-binding protein (JBP1)	Chromatin	NA
Tb927.11.13650	cytochrome b5, putative (CYB5)	Mito.e.transport	NA
Tb927.11.13660	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13670	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13680	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13690	radial spoke protein RSP11, putative	Cytoskeleton	NA
Tb927.11.1370	glutaredoxin GRX1	Redox	NA
Tb927.11.13700	BLD10	Cytoskeleton	NA
Tb927.11.13710	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.13720	hypothetical protein	ZUnknown	NA
Tb927.11.13730	ornithine decarboxylase (ODC)	Redox	NA
Tb927.11.13740	ACP5,  GRESAG 4-like	GRESAG	NA
Tb927.11.13750	Ras-related protein Rab4	Vesicular.transport	NA
Tb927.11.13760	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13770	ROS3, putative beta subunit of MT	ZUnknown	NA
Tb927.11.13780	profilin	Cytoskeleton	NA
Tb927.11.13790	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.1380	Right handed beta helix region/Periplasmic copper-binding protein (NosD), putative	ZUnknown	NA
Tb927.11.13800	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13810	ATP-dependent DEAD/H RNA helicase,  putative Rok1, ribosome biogenesis?	rRNA.tRNA.process	NA
Tb927.11.13820	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13830	DnaJ domain containing protein, putative	Mito.pathway	NA
Tb927.11.13840	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13850	hypothetical protein, conserved	ZUnknown	NA
Tb927.11.13860	Copurifies with PTP-CPSF160, may activate polyadenylation	RNA.processing	NA
Tb927.11.13870	uncharacterized protein, PH0010 family/AmmeMemoRadiSam system protein A, putative	ZUnknown	NA
Tb927.11.13880	kinetoplastid-specific protein tyrosine phosphatase, putative	Protein.phosphatase	NA
Tb927.11.13890	RNA ligase asociated with SSU	Mito.pathway	NA
Tb927.11.1390	class I transcription factor A, subunit 1 (CITFA-1)	RNA.synthesis	NA
Tb927.11.13900	Centrin5	Cell.cycle	NA
Tb927.11.13910	hypothetical protein, conserved	Mito.pathway	NA
Tb927.11.13920	kinesin-II 85 Kd subunit, family 2	Cytoskeleton	NA
Tb927.11.13930	U3 small nucleolar ribonucleoprotein protein IMP3, putative	rRNA.tRNA.process	NA
Tb927.11.13940	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome	NA
